A16_001,A16_002,A16_003,A16_004,A16_005,A16_006,A16_007,A16_008,A16_009,A16_010,A16_011
1310101,13101,千代田区,1,58406,11.66,47115,11.64,100,100,
1310201,13102,中央区,1,141183,10.21,122762,10.18,100,100,
1310301,13103,港区,1,243283,20.37,205131,20.34,100,100,
1310401,13104,新宿区,1,333560,18.22,326309,18.23,100,100,
1310501,13105,文京区,1,219724,11.29,206626,11.31,100,100,
1310601,13106,台東区,1,198073,10.11,175928,10.08,100,100,
1310701,13107,墨田区,1,256274,13.77,247606,13.75,100,100,
1310801,13108,江東区,1,498109,40.16,460819,39.94,100,100,
1310901,13109,品川区,1,386855,22.84,365302,22.72,100,100,
1311001,13110,目黒区,1,277622,14.67,268330,14.7,100,100,
1311101,13111,大田区,1,717082,60.66,693373,59.46,100,100,
1311201,13112,世田谷区,1,903346,58.05,877138,58.08,100,100,
1311301,13113,渋谷区,1,224533,15.11,204492,15.11,100,100,
1311401,13114,中野区,1,328215,15.59,314750,15.59,100,100,
1311501,13115,杉並区,1,563997,34.06,549569,34.02,100,100,
1311601,13116,豊島区,1,291167,13.01,284678,13.01,100,100,
1311701,13117,北区,1,341076,20.61,335544,20.59,100,100,
1311801,13118,荒川区,1,212264,10.16,203296,10.2,100,100,
1311901,13119,板橋区,1,561916,32.22,535824,32.17,100,100,
1312001,13120,練馬区,1,721722,48.08,716124,48.16,100,100,
1312101,13121,足立区,1,670122,53.25,683426,53.2,100,100,
1312201,13122,葛飾区,1,442913,34.8,442586,34.79,100,100,
1312301,13123,江戸川区,1,681298,49.9,678967,49.76,100,100,
